SPECIES_BULBASAUR : MAX(30, 50) ; MIN(41, 18)
SPECIES_SCORBUNNY : MAX(22, 55) ; MIN(25, 5)
SPECIES_RABOOT : MAX(32, 56) ; MIN(27, 6)
SPECIES_CINDERACE : MAX(43, 63) ; MIN(33, 0)
SPECIES_SOBBLE : MAX(38, 52) ; MIN(33, 7)
SPECIES_DRIZZILE : MAX(40, 54) ; MIN(21, 8)
SPECIES_INTELEON : MAX(26, 62) ; MIN(32, 1)
SPECIES_SKWOVET : MAX(28, 54) ; MIN(31, 8)
SPECIES_GREEDENT : MAX(28, 59) ; MIN(15, 3)
SPECIES_ROOKIDEE : MAX(35, 47) ; MIN(20, 15)
SPECIES_CORVISQUIRE : MAX(37, 58) ; MIN(59, 4)
SPECIES_CORVIKNIGHT : MAX(35, 61) ; MIN(24, 2)
SPECIES_BLIPBUG : MAX(34, 51) ; MIN(26, 12)
SPECIES_DOTTLER : MAX(37, 50) ; MIN(31, 13)
SPECIES_ORBEETLE : MAX(32, 59) ; MIN(29, 8)
SPECIES_NICKIT : MAX(24, 54) ; MIN(14, 9)
SPECIES_THIEVUL : MAX(7, 56) ; MIN(6, 7)
SPECIES_GOSSIFLEUR : MAX(32, 52) ; MIN(32, 7)
SPECIES_ELDEGOSS : MAX(31, 59) ; MIN(30, 4)
SPECIES_WOOLOO : MAX(32, 51) ; MIN(29, 16)
SPECIES_DUBWOOL : MAX(30, 58) ; MIN(23, 4)
SPECIES_CHEWTLE : MAX(25, 50) ; MIN(30, 11)
SPECIES_DREDNAW : MAX(28, 56) ; MIN(28, 9)
SPECIES_YAMPER : MAX(27, 53) ; MIN(25, 12)
SPECIES_BOLTUND : MAX(26, 58) ; MIN(23, 5)
SPECIES_ROLYCOLY : MAX(28, 47) ; MIN(29, 15)
SPECIES_CARKOL : MAX(41, 55) ; MIN(31, 7)
SPECIES_COALOSSAL : MAX(46, 63) ; MIN(31, 0)
SPECIES_APPLIN : MAX(27, 47) ; MIN(24, 15)
SPECIES_FLAPPLE : MAX(23, 54) ; MIN(27, 8)
SPECIES_APPLETUN : MAX(32, 58) ; MIN(31, 4)
SPECIES_SILICOBRA : MAX(23, 51) ; MIN(23, 16)
SPECIES_SANDACONDA : MAX(13, 51) ; MIN(15, 12)
SPECIES_CRAMORANT : MAX(29, 63) ; MIN(40, 4)
SPECIES_ARROKUDA : MAX(29, 46) ; MIN(48, 16)
SPECIES_BARRASKEWDA : MAX(43, 55) ; MIN(41, 11)
SPECIES_TOXEL : MAX(18, 52) ; MIN(33, 10)
SPECIES_TOXTRICITY : MAX(10, 62) ; MIN(18, 1)
SPECIES_SIZZLIPEDE : MAX(31, 46) ; MIN(20, 28)
SPECIES_CENTISKORCH : MAX(34, 56) ; MIN(11, 8)
SPECIES_CLOBBOPUS : MAX(29, 48) ; MIN(30, 18)
SPECIES_GRAPPLOCT : MAX(19, 58) ; MIN(29, 10)
SPECIES_SINISTEA : MAX(29, 46) ; MIN(28, 20)
SPECIES_POLTEAGEIST : MAX(38, 52) ; MIN(30, 10)
SPECIES_HATENNA : MAX(22, 51) ; MIN(34, 11)
SPECIES_HATTREM : MAX(43, 55) ; MIN(38, 8)
SPECIES_HATTERENE : MAX(41, 63) ; MIN(47, 0)
SPECIES_IMPIDIMP : MAX(38, 51) ; MIN(37, 13)
SPECIES_MORGREM : MAX(38, 57) ; MIN(19, 9)
SPECIES_GRIMMSNARL : MAX(48, 61) ; MIN(38, 3)
SPECIES_OBSTAGOON : MAX(44, 63) ; MIN(28, 0)
SPECIES_PERRSERKER : MAX(42, 61) ; MIN(44, 2)
SPECIES_CURSOLA : MAX(30, 63) ; MIN(24, 0)
SPECIES_SIRFETCHD : MAX(36, 63) ; MIN(53, 0)
SPECIES_MR_RIME : MAX(40, 59) ; MIN(45, 3)
SPECIES_RUNERIGUS : MAX(42, 61) ; MIN(38, 1)
SPECIES_MILCERY : MAX(46, 48) ; MIN(25, 12)
SPECIES_ALCREMIE : MAX(30, 56) ; MIN(25, 8)
SPECIES_FALINKS : MAX(27, 55) ; MIN(43, 8)
SPECIES_PINCURCHIN : MAX(30, 48) ; MIN(33, 14)
SPECIES_SNOM : MAX(25, 43) ; MIN(29, 19)
SPECIES_FROSMOTH : MAX(25, 58) ; MIN(51, 4)
SPECIES_STONJOURNER : MAX(46, 61) ; MIN(43, 2)
SPECIES_EISCUE : MAX(37, 63) ; MIN(29, 1)
SPECIES_INDEEDEE : MAX(33, 54) ; MIN(23, 5)
SPECIES_MORPEKO : MAX(22, 49) ; MIN(20, 13)
SPECIES_CUFANT : MAX(32, 52) ; MIN(30, 11)
SPECIES_COPPERAJAH : MAX(31, 58) ; MIN(28, 5)
SPECIES_DRACOZOLT : MAX(37, 61) ; MIN(10, 5)
SPECIES_ARCTOZOLT : MAX(32, 62) ; MIN(19, 3)
SPECIES_DRACOVISH : MAX(33, 63) ; MIN(26, 2)
SPECIES_ARCTOVISH : MAX(13, 60) ; MIN(18, 2)
SPECIES_DURALUDON : MAX(41, 63) ; MIN(29, 0)
SPECIES_DREEPY : MAX(31, 49) ; MIN(12, 14)
SPECIES_DRAKLOAK : MAX(37, 56) ; MIN(36, 7)
SPECIES_DRAGAPULT : MAX(21, 61) ; MIN(21, 1)
SPECIES_ZACIAN : MAX(21, 60) ; MIN(7, 3)
SPECIES_ZAMAZENTA : MAX(28, 63) ; MIN(26, 0)
SPECIES_ETERNATUS : MAX(37, 62) ; MIN(20, 0)
SPECIES_KUBFU : MAX(35, 55) ; MIN(28, 8)
SPECIES_URSHIFU : MAX(10, 63) ; MIN(27, 0)
SPECIES_ZARUDE : MAX(51, 61) ; MIN(14, 1)
SPECIES_REGIELEKI : MAX(29, 58) ; MIN(25, 6)
SPECIES_REGIDRAGO : MAX(39, 62) ; MIN(22, 1)
SPECIES_GLASTRIER : MAX(15, 63) ; MIN(17, 0)
SPECIES_SPECTRIER : MAX(16, 63) ; MIN(12, 4)
SPECIES_CALYREX : MAX(29, 61) ; MIN(23, 2)
